#k-distance frequency[THz]
0.67107409 4.99822021
0.67371815 5.14733199
0.67636225 5.29402922
0.67900630 5.43831931
0.68165040 5.58021329
0.68429446 5.71972521
0.68693851 5.85687148
0.68958261 5.99167030
0.69222667 6.12414094
0.69487077 6.25430315
0.69751482 6.38217643
0.70015888 6.50777946
0.70280298 6.63112945
0.70544703 6.75224154
0.70809113 6.87112825
0.71073519 6.98779892
0.71337924 7.10225926
0.71602334 7.21451092
0.71866740 7.32455107
0.72131150 7.43237212
0.72395555 7.53796145
0.72659961 7.64130120
0.72924371 7.74236815
0.73188776 7.84113369
0.73453186 7.93756379
0.73717592 8.03161908
0.73981997 8.12325502
0.74246407 8.21242209
0.74510813 8.29906605
0.74775223 8.38312826
0.75039628 8.46454610
0.75304034 8.54325334
0.75568444 8.61918065
0.75832849 8.69225608
0.76097255 8.76240564
0.76361665 8.82955382
0.76626070 8.89362421
0.76890480 8.95454008
0.77154886 9.01222501
0.77419291 9.06660349
0.77683701 9.11760151
0.77948107 9.16514718
0.78212517 9.20917131
0.78476922 9.24960796
0.78741328 9.28639495
0.79005738 9.31947443
0.79270143 9.34879328
0.79534553 9.37430357
0.79798959 9.39596297
